File,Namespace,Has i18n,String,Line,Type,Suggested Key
components\settings\skill-settings.tsx,common,No,"sm",197,PropString,common.sm
components\settings\skill-settings.tsx,common,No,"Create New Skill",263,JSXText,common.create_new_skill
components\settings\skill-settings.tsx,common,No,"Start Blank",271,JSXText,common.start_blank
components\settings\skill-settings.tsx,common,No,"blank",271,PropString,common.blank
components\settings\skill-settings.tsx,common,No,"Use Template",272,JSXText,common.use_template
components\settings\skill-settings.tsx,common,No,"template",272,PropString,common.template
components\settings\skill-settings.tsx,common,No,"template",275,PropString,common.template
components\settings\skill-settings.tsx,common,No,"blank",299,PropString,common.blank
components\settings\skill-settings.tsx,common,No,"Name",309,JSXText,common.name
components\settings\skill-settings.tsx,common,No,"Category",321,JSXText,common.category
components\settings\skill-settings.tsx,common,No,"category",321,PropString,common.category
components\settings\skill-settings.tsx,common,No,"Description",341,JSXText,common.description
components\settings\skill-settings.tsx,common,No,"description",341,PropString,common.description
components\settings\skill-settings.tsx,common,No,"description",343,PropString,common.description
components\settings\skill-settings.tsx,common,No,"Skill Instructions (Markdown)",355,JSXText,common.skill_instructions_markdown
components\settings\skill-settings.tsx,common,No,"content",355,PropString,common.content
components\settings\skill-settings.tsx,common,No,"content",357,PropString,common.content
components\settings\skill-settings.tsx,common,No,"Import Skill",408,JSXText,common.import_skill
components\settings\skill-settings.tsx,common,No,"destructive",426,PropString,common.destructive
components\settings\skill-settings.tsx,common,No,"destructive",545,PropString,common.destructive
components\settings\skill-settings.tsx,common,No,"Error",547,JSXText,common.error
components\settings\skill-settings.tsx,common,No,"ghost",550,PropString,common.ghost
components\settings\skill-settings.tsx,common,No,"sm",550,PropString,common.sm
components\settings\skill-settings.tsx,common,No,"All Categories",575,JSXText,common.all_categories
components\settings\skill-settings.tsx,common,No,"all",575,PropString,common.all
components\settings\skill-settings.tsx,common,No,"No skills found",606,JSXText,common.no_skills_found
components\settings\skill-settings.tsx,common,No,"Create a new skill or import one to get started",607,JSXText,common.create_a_new_skill_or_import_one_to_get_started
components\settings\skill-settings.tsx,common,No,"secondary",616,PropString,common.secondary
components\workflow-editor\workflow-toolbar.tsx,common,Yes,"ghost",134,PropString,common.ghost
components\workflow-editor\workflow-toolbar.tsx,common,Yes,"icon",135,PropString,common.icon
components\workflow-editor\workflow-toolbar.tsx,common,Yes,"ghost",148,PropString,common.ghost
components\workflow-editor\workflow-toolbar.tsx,common,Yes,"icon",148,PropString,common.icon
components\workflow-editor\workflow-toolbar.tsx,common,Yes,"start",152,PropString,common.start
components\workflow-editor\workflow-toolbar.tsx,common,Yes,"vertical",165,PropString,common.vertical
components\workflow-editor\workflow-toolbar.tsx,common,Yes,"ghost",172,PropString,common.ghost
components\workflow-editor\workflow-toolbar.tsx,common,Yes,"icon",173,PropString,common.icon
components\workflow-editor\workflow-toolbar.tsx,common,Yes,"ghost",187,PropString,common.ghost
components\workflow-editor\workflow-toolbar.tsx,common,Yes,"icon",188,PropString,common.icon
components\workflow-editor\workflow-toolbar.tsx,common,Yes,"vertical",200,PropString,common.vertical
components\workflow-editor\workflow-toolbar.tsx,common,Yes,"ghost",207,PropString,common.ghost
components\workflow-editor\workflow-toolbar.tsx,common,Yes,"icon",208,PropString,common.icon
components\workflow-editor\workflow-toolbar.tsx,common,Yes,"ghost",222,PropString,common.ghost
components\workflow-editor\workflow-toolbar.tsx,common,Yes,"icon",223,PropString,common.icon
components\workflow-editor\workflow-toolbar.tsx,common,Yes,"vertical",234,PropString,common.vertical
components\workflow-editor\workflow-toolbar.tsx,common,Yes,"ghost",241,PropString,common.ghost
components\workflow-editor\workflow-toolbar.tsx,common,Yes,"icon",242,PropString,common.icon
components\workflow-editor\workflow-toolbar.tsx,common,Yes,"ghost",255,PropString,common.ghost
components\workflow-editor\workflow-toolbar.tsx,common,Yes,"icon",256,PropString,common.icon
components\workflow-editor\workflow-toolbar.tsx,common,Yes,"start",263,PropString,common.start
components\workflow-editor\workflow-toolbar.tsx,common,Yes,"vertical",293,PropString,common.vertical
components\workflow-editor\workflow-toolbar.tsx,common,Yes,"ghost",300,PropString,common.ghost
components\workflow-editor\workflow-toolbar.tsx,common,Yes,"icon",301,PropString,common.icon
components\workflow-editor\workflow-toolbar.tsx,common,Yes,"ghost",314,PropString,common.ghost
components\workflow-editor\workflow-toolbar.tsx,common,Yes,"icon",315,PropString,common.icon
components\workflow-editor\workflow-toolbar.tsx,common,Yes,"ghost",328,PropString,common.ghost
components\workflow-editor\workflow-toolbar.tsx,common,Yes,"icon",329,PropString,common.icon
components\workflow-editor\workflow-toolbar.tsx,common,Yes,"vertical",365,PropString,common.vertical
components\workflow-editor\workflow-toolbar.tsx,common,Yes,"default",373,PropString,common.default
